No;Nama;Pekerjaan;Penghasilan;Kepemilikan rumah;Lantai;Sanitasi
1;Dewa Sugiani;Nelayan;<1000000;sendiri;tanah;tidak ada
2;Putu Candra;Nelayan;<1500000;hibah;semen;sendiri
3;Nyoman Dedi;Petani;<500000;hibah;semen;sendiri
4;Wayan Dedi;PNS;4500000;sendiri;keramik;sendiri
5;Wayan Aldi;PNS;3500000;sendiri;keramik;sendiri
6;Luh Agus;PNS;4500000;sewa;keramik;sendiri
7;Kadek Ardin;PNS;4500000;sendiri;keramik;sendiri
8;Desak Edi;Buruh;<500000;sewa;keramik;bersama
9;Dewa Ayu;Petani;<4500000;sewa;keramik;bersama
10;Dewa Eka;Pedagang;<4000000;sendiri;keramik;sendiri
11;Nyoman Fauzan;Nelayan;<500000;hibah;semen;tidak ada
12;Ketut Budi;Karyawan;<3000000;sewa;semen;bersama
13;Komang Catur;Karyawan;<1500000;sendiri;semen;sendiri
14;Komang Arnika;Pedagang;<4000000;sendiri;keramik;sendiri
15;Gede Bagus;PNS;4500000;sendiri;keramik;sendiri
16;Dewa Dwi;Pedagang;<3500000;sendiri;semen;sendiri
17;Made Bagus;Petani;<3000000;sewa;keramik;bersama
18;Ketut Panca;Karyawan;3500000;sewa;keramik;bersama
19;Luh Eri;Nelayan;<1000000;hibah;semen;sendiri
