No;Nama;Pekerjaan;Penghasilan;Kepemilikan rumah;Lantai;Sanitasi
1;Dewa Sugiani;1;1;3;1;1
2;Putu Candra;1;1;1;2;3
3;Nyoman Dedi;1;1;1;2;3
4;Wayan Dedi;3;3;3;3;3
5;Wayan Aldi;3;3;3;3;3
6;Luh Agus;3;3;2;3;3
7;Kadek Ardin;3;3;3;3;3
8;Desak Edi;1;1;2;3;2
9;Dewa Ayu;1;3;2;3;2
10;Dewa Eka;2;3;3;3;3
11;Nyoman Fauzan;1;1;1;2;1
12;Ketut Budi;2;2;2;2;2
13;Komang Catur;2;1;3;2;3
14;Komang Arnika;2;3;3;3;3
15;Gede Bagus;3;3;3;3;3
16;Dewa Dwi;2;3;3;2;3
17;Made Bagus;1;2;2;3;2
18;Ketut Panca;2;3;2;3;2
19;Luh Eri;1;1;1;2;3
